review,difficulty,interest,usefulness,teaching_quality
Assignments duplicated the lectures without adding value.,0,0,1,1
Assignments felt like busywork.,0,0,0,1
Assignments overshadowed the actual learning objectives.,0,0,0,1
Assignments were last-minute and poorly explained.,0,0,0,1
Complete waste of time.,0,1,1,1
Confusing.,0,0,0,1
Course content was both superficial and overwhelming.,0,0,0,1
Course had no clear structure or flow.,0,0,0,1
Course lacked a coherent syllabus.,0,0,0,1
Course lacked depth in essential topics.,0,0,0,1
Course materials were poorly organized.,0,0,0,1
Course objectives were unclear and unrealistic.,0,0,0,1
Course seemed stuck in the past.,0,0,0,1
Course seems designed to bore students.,0,0,0,1
Course tone was unprofessional and stiff.,0,0,0,1
Course website was outdated and confusing.,0,0,0,1
Critical concepts were glossed over in a rush.,0,0,0,1
Didn't learn anything.,0,0,1,1
Disorganized slides made it impossible to follow.,0,0,0,1
"Every session felt like déjà vu, nothing new was covered.",0,0,0,1
Everything felt disjointed and erratic.,0,0,0,1
Everything seemed permutated with no rationale.,0,0,0,1
Exam questions were poorly phrased.,0,0,0,1
Exams tested trivial details not core concepts.,0,0,0,1
Expectations were never clearly communicated.,0,0,0,1
Feedback on assignments was generic and useless.,0,0,0,1
Feedback took forever to return.,0,0,0,1
Feedback was simply 'good' or 'bad' with no detail.,0,0,0,1
Group activities were forced and awkward.,0,0,0,1
Group projects were poorly coordinated.,0,0,0,1
Group work was chaotic and unstructured.,0,0,0,1
Half the examples were irrelevant.,0,0,0,1
Half the time was spent troubleshooting technical issues.,0,0,0,1
I expected more real-world applications.,0,0,0,1
I felt frustrated after every class.,0,0,0,1
I felt like I was teaching myself.,0,0,0,1
I learned nothing applicable to my career.,0,0,0,1
I left every class more confused than before.,0,0,0,1
I rarely felt challenged or supported.,0,0,0,1
I struggled to stay awake during lectures.,0,1,0,1
I wouldn't recommend this course to anyone.,0,1,1,1
Instructor changed topics without warning.,0,0,0,1
Instructor didn't respect our time.,0,0,0,1
Instructor dominated the discussion without listening.,0,0,0,1
Instructor failed to link theory to practice.,0,0,0,1
Instructor ignored questions from quieter students.,0,0,0,1
Instructor mumbled through the material without enthusiasm.,0,0,0,1
Instructor never checked if we understood.,0,0,0,1
Instructor offered no real insights.,0,0,0,1
Instructor overused jargon without explanation.,0,0,0,1
Instructor read verbatim from the textbook.,0,0,0,1
Instructor seemed disinterested in teaching.,0,0,0,1
Instructor used outdated software.,0,0,0,1
Instructor was frequently late and unprepared.,0,0,0,1
Instructor's accent made it hard to understand.,0,0,0,1
Instructor's tone was monotone and dull.,0,0,0,1
"It felt like reading a textbook aloud, nothing more.",0,0,0,1
Lectures dragged on with pointless anecdotes.,0,0,0,1
